feature,importance
Global_reactive_power,0.00021383943
Voltage,0.0003008463
Global_intensity,0.4658719
Sub_metering_1,0.004133783
Sub_metering_2,0.00030180177
Sub_metering_3,0.07474954
hour_sin,0.00016715753
hour_cos,0.00015175759
dow_sin,4.267744e-05
dow_cos,6.0369035e-05
month_sin,6.706987e-05
month_cos,0.00020637814
is_weekend,2.9516145e-06
day_of_year,0.000102891136
lag_1h,0.038606863
lag_2h,0.00047969227
lag_6h,0.00011605178
lag_24h,0.00010335181
lag_48h,0.0002117692
lag_168h,0.00018813218
rolling_mean_3h,0.00066323206
rolling_std_3h,9.663024e-05
rolling_mean_6h,0.00020776043
rolling_std_6h,5.1619772e-05
rolling_mean_24h,0.00076691527
rolling_std_24h,0.0015064987
rolling_mean_168h,0.0001665377
rolling_std_168h,0.00012066036
Global_reactive_power_lag_1h,0.00016894285
Global_reactive_power_lag_24h,0.00037406883
Voltage_lag_1h,0.00019521845
Voltage_lag_24h,0.00016465175
Global_intensity_lag_1h,0.00015440997
Global_intensity_lag_24h,7.539141e-05
Sub_metering_1_lag_1h,8.1125756e-05
Sub_metering_1_lag_24h,0.00019785657
Sub_metering_2_lag_1h,0.00010183411
Sub_metering_2_lag_24h,7.275639e-05
Sub_metering_3_lag_1h,0.00022583106
Sub_metering_3_lag_24h,6.6533896e-05
ratio_sub1_global,0.0015451025
ratio_sub2_global,0.0021036263
ratio_sub3_global,0.037225757
voltage_intensity_ratio,0.35281813
target,0.014769935
